character_id,movie_title,slasher_name,year_released,decade_released,is_killed,time_killed,movie_duration,duration_percentage,status,gender,ethnicity,age_group,promiscuity,drugs_alcohol,fights_back
H1,Halloween,Michael Myers,1978,70,TRUE,5,91,0.0549,1,Female,White,18,1,0,0
H2,Halloween,Michael Myers,1978,70,TRUE,54,91,0.5934,1,Female,White,18,1,1,0
H3,Halloween,Michael Myers,1978,70,TRUE,65,91,0.7142,1,Male,White,18,1,1,0
H4,Halloween,Michael Myers,1978,70,TRUE,67,91,0.7362,1,Female,White,18,1,1,0
H5,Halloween,Michael Myers,1978,70,FALSE,NA,91,1,0,Female,White,18,0,1,1
H6,Halloween,Michael Myers,1978,70,FALSE,NA,91,1,0,Male,White,45,0,0,0
TC1,Texas Chainsaw Massacre,Leatherface,1974,70,TRUE,35,90,0.3889,1,Male,White,20,1,0,0
TC2,Texas Chainsaw Massacre,Leatherface,1974,70,TRUE,46,90,0.5111,1,Male,White,30,0,0,0
TC3,Texas Chainsaw Massacre,Leatherface,1974,70,TRUE,46,90,0.5111,1,Female,White,20,1,0,0
TC4,Texas Chainsaw Massacre,Leatherface,1974,70,TRUE,52,90,0.5777,1,Male,White,20,0,0,0
TC5,Texas Chainsaw Massacre,Leatherface,1974,90,FALSE,NA,90,1,0,Female,White,20,1,0,1
FG1,The Final Girls,Billy Murphy,2015,10,TRUE,28,91,0.3077,1,Male,Black,18,1,0,0
FG2,The Final Girls,Billy Murphy,2015,10,TRUE,29,91,0.3187,1,Female,White,18,1,0,0
FG3,The Final Girls,Billy Murphy,2015,10,TRUE,44,91,0.4835,1,Male,White,18,0,0,0
FG4,The Final Girls,Billy Murphy,2015,10,TRUE,45,91,0.4945,1,Male,White,18,1,0,0
FG5,The Final Girls,Billy Murphy,2015,10,TRUE,45,91,0.4945,1,Female,Mixed: Latina/White,18,0,1,0
FG6,The Final Girls,Billy Murphy,2015,10,TRUE,60,91,0.6593,1,Female,White,18,1,0,0
FG7,The Final Girls,Billy Murphy,2015,10,TRUE,61,91,0.6703,1,Male,Black,18,0,0,0
FG8,The Final Girls,Billy Murphy,2015,10,TRUE,62,91,0.6813,1,Female,White,18,0,0,1
FG9,The Final Girls,Billy Murphy,2015,10,TRUE,62,91,0.6813,1,Female,Mixed: Iraqi/White,18,0,0,1
FG10,The Final Girls,Billy Murphy,2015,10,TRUE,76,91,0.8352,1,Female,White,18,1,0,1
FG11,The Final Girls,Billy Murphy,2015,10,FALSE,NA,91,1,0,Female,White,18,0,0,1
FG12,The Final Girls,Billy Murphy,2015,10,FALSE,NA,91,1,0,Male,White,18,0,0,1
C1,Candyman,Candyman,1992,90,TRUE,5,98,0.0510,1,Female,White,25,1,0,0
C2,Candyman,Candyman,1992,90,TRUE,57,98,0.5816,1,Female,Black,25,0,1,0
C3,Candyman,Candyman,1992,90,TRUE,71,98,0.7245,1,Male,White,45,0,0,0
C4,Candyman,Candyman,1992,90,TRUE,86,98,0.8776,1,Female,White,25,0,1,1
C5,Candyman,Candyman,1992,90,TRUE,94,98,0.9592,1,Male,White,30,1,0,0
C6,Candyman,Candyman,1992,90,FALSE,NA,98,1,0,Female,Black,25,0,0,0
IKWYDLS1,I Know What You Did Last Summer,Ben Willis,1997,90,TRUE,38,101,0.3762,1,Male,White,19,0,0,0
IKWYDLS2,I Know What You Did Last Summer,Ben Willis,1997,90,TRUE,72,101,0.7129,1,Male,White,19,1,1,0
IKWYDLS3,I Know What You Did Last Summer,Ben Willis,1997,90,TRUE,76,101,0.7525,1,Male,White,35,0,0,0
IKWYDLS4,I Know What You Did Last Summer,Ben Willis,1997,90,TRUE,78,101,0.7723,1,Female,White,25,0,0,0
IKWYDLS5,I Know What You Did Last Summer,Ben Willis,1997,90,TRUE,82,101,0.8119,1,Female,White,19,1,0,0
IKWYDLS6,I Know What You Did Last Summer,Ben Willis,1997,90,FALSE,NA,101,1,0,Female,White,19,1,0,1
IKWYDLS7,I Know What You Did Last Summer,Ben Willis,1997,90,FALSE,NA,101,1,0,Male,White,19,1,0,1
S1,Scream,Ghostface,1996,90,TRUE,8,111,0.0721,1,Male,White,18,1,0,0
S2,Scream,Ghostface,1996,90,TRUE,12,111,0.1081,1,Female,White,18,1,0,1
S3,Scream,Ghostface,1996,90,TRUE,53,111,0.4774,1,Male,White,50,0,0,0
S4,Scream,Ghostface,1996,90,TRUE,67,111,0.6036,1,Female,White,18,1,1,1
S5,Scream,Ghostface,1996,90,TRUE,83,111,0.7477,1,Male,White,35,0,0,0
S6,Scream,Ghostface,1996,90,FALSE,NA,111,1,0,Female,White,18,1,1,1
S7,Scream,Ghostface,1996,90,FALSE,NA,111,1,0,Male,White,18,0,1,0
